prefix_28	short_name_28	name_28
00:55:DA:00:00:00/28	ShinkoTe	Shinko Technos co.,ltd.
00:55:DA:10:00:00/28	Koolpos	KoolPOS Inc.
00:55:DA:20:00:00/28	BeijingC	Beijing Connected Information Technology Co.,Ltd.
00:55:DA:30:00:00/28	NovexxSo	Novexx Solutions GmbH
00:55:DA:40:00:00/28	Datapath	Datapath Limited
00:55:DA:50:00:00/28	Nanoleaf
00:55:DA:60:00:00/28	Ooo"Deka	Ooo "Dekatron"
00:55:DA:70:00:00/28	Lucistec	Lucistechnologies（Shanghai）Co.,Ltd
00:55:DA:80:00:00/28	Broadsof	BroadSoft, Inc.
00:55:DA:90:00:00/28	QuantumC	Quantum Communication Technology Co., Ltd.,Anhui
00:55:DA:A0:00:00/28	Speechla	Speechlab
00:55:DA:B0:00:00/28	Interaxo	Interaxon Inc
00:55:DA:C0:00:00/28	DonguanW	Donguan WideLink Communication Technology Co.,Ltd.
00:55:DA:D0:00:00/28	ArrowEle	Arrow Electronics,Inc.
00:55:DA:E0:00:00/28	Victorsu	Victorsure Limited
00:55:DA:F0:00:00/28	Private
00:69:67:00:00:00/28	Annapurn	Annapurna labs
00:69:67:10:00:00/28	Miliwave
00:69:67:20:00:00/28	NingboSh	Ningbo Shen Link Communication Technology Co.,Ltd
00:69:67:30:00:00/28	SuzhouRa	Suzhou Radiant Lighting Technology Co.,Ltd
00:69:67:40:00:00/28	CommandA	Command Alkon, Inc
00:69:67:50:00:00/28	Shenzhen	Shenzhen Xiao Bi En Culture Education Technology Co.,Ltd.
00:69:67:60:00:00/28	Comcast-	Comcast-SRL
00:69:67:70:00:00/28	PangaeaS	Pangaea Solution Inc
00:69:67:80:00:00/28	Ambient-	Ambient-System sp. z o.o.
00:69:67:90:00:00/28	Hangzhou	Hangzhou Wise IOT Technology Co.,Ltd
00:69:67:A0:00:00/28	Zhejiang	Zhejiang Holip Electronic Technology Co.,Ltd
00:69:67:B0:00:00/28	DatapanD	Datapan d.o.o.
00:69:67:C0:00:00/28	DesirdDe	Desird Design R&D
00:69:67:D0:00:00/28	Aversix
00:69:67:E0:00:00/28	TianjinL	Tianjin Lianwu Technology Co., Ltd.
04:71:4B:00:00:00/28	NeurioTe	Neurio Technology Inc.
04:71:4B:10:00:00/28	Uavionix	uAvionix Corporation
04:71:4B:20:00:00/28	Shenzhen	Shenzhen WayOS Technology Crop., Ltd.
04:71:4B:30:00:00/28	Griesser	Griesser Electronic AG
04:71:4B:40:00:00/28	Apparate	Apparatebau Gauting GmbH
04:71:4B:50:00:00/28	BureauEl	Bureau Electronique Appliquee
04:71:4B:60:00:00/28	Armstron	Armstrong Fluid Technology
04:71:4B:70:00:00/28	OmylisPt	Omylis Pte Ltd
04:71:4B:80:00:00/28	Energpor	Energport Inc
04:71:4B:90:00:00/28	Lighthou	Lighthouse AI, Inc
04:71:4B:A0:00:00/28	Observab	Observables, Inc.
04:71:4B:B0:00:00/28	Digibest	Digibest Technology Co., Ltd.
04:71:4B:C0:00:00/28	Kittyhaw	KittyHawk Corporation
04:71:4B:D0:00:00/28	Shenzhen	Shenzhen BoClouds Technology Co.,Ltd.
04:71:4B:E0:00:00/28	GimsoMob	Gimso Mobile Ltd
04:C3:E6:00:00:00/28	Dreamkas	Dreamkas Llc
04:C3:E6:10:00:00/28	Guangdon	Guangdong New Pulse Electric Co., Ltd.
04:C3:E6:20:00:00/28	SisTechn	SiS Technology
04:C3:E6:30:00:00/28	ExtechEl	Extech Electronics Co., LTD.
04:C3:E6:40:00:00/28	Innovusi	Innovusion Inc.
04:C3:E6:50:00:00/28	Invasys
04:C3:E6:60:00:00/28	Shenzhen	Shenzhen Shuotian Information Technology Co., LTD
04:C3:E6:70:00:00/28	Advanced	Advanced Digital Technologies, s.r.o.
04:C3:E6:80:00:00/28	Sloc	SLOC GmbH
04:C3:E6:90:00:00/28	EkinTekn	Ekin Teknoloji San ve Tic A.S.
04:C3:E6:A0:00:00/28	SealedUn	Sealed Unit Parts Co., Inc.
04:C3:E6:B0:00:00/28	FlintecU	Flintec UK Ltd.
04:C3:E6:C0:00:00/28	ShantouY	Shantou Yingsheng Import & Export Trading Co.,Ltd.
04:C3:E6:D0:00:00/28	Amiosec	Amiosec Ltd
04:C3:E6:E0:00:00/28	Teleepoc	Teleepoch Ltd
04:D1:6E:00:00:00/28	Intriple	INTRIPLE, a.s.
04:D1:6E:10:00:00/28	LaunchTe	Launch Tech Co., Ltd.
04:D1:6E:20:00:00/28	SDISPA	s.d.i. s.p.a.
04:D1:6E:30:00:00/28	BeijingH	Beijing Huaxia Qixin Technology Co., Ltd.
04:D1:6E:40:00:00/28	Shenzhen	ShenZhen Huafu Information technology Co.?Ltd
04:D1:6E:50:00:00/28	DspreadT	Dspread Technology (Beijing) Inc.
04:D1:6E:60:00:00/28	EtlElekt	ETL Elektrotechnik Lauter GmbH
04:D1:6E:70:00:00/28	Envision	Envision Energy
04:D1:6E:80:00:00/28	ChengduI	Chengdu Interlink Science And Technology Co.,Ltd
