prefix_36	short_name_36	name_36
00:1B:C5:05:E0:00/36	Ecomed-C	Ecomed-Complex
00:1B:C5:05:F0:00/36	Klingent	Klingenthaler Musikelektronik GmbH
00:1B:C5:06:00:00/36	Enstech
00:1B:C5:06:10:00/36	Scientif	Scientific-Technical Center "Epsilon" Limited company
00:1B:C5:06:20:00/36	SulaonOy	Sulaon Oy
00:1B:C5:06:30:00/36	Check-It	Check-It Solutions Inc
00:1B:C5:06:40:00/36	EnkoraOy	Enkora Oy Ltd
00:1B:C5:06:50:00/36	PlairMed	Plair Media Inc.
00:1B:C5:06:60:00/36	Manufact	Manufacturas y transformados AB
00:1B:C5:06:70:00/36	EmbitSrl	Embit srl
00:1B:C5:06:80:00/36	HcsKablo	HCS KABLOLAMA SISTEMLERI SAN. ve TIC.A.S.
00:1B:C5:06:90:00/36	DatasatD	Datasat Digital Entertainment
00:1B:C5:06:A0:00/36	Ist	IST GmbH
00:1B:C5:06:B0:00/36	Verified	Verified Energy, LLC.
00:1B:C5:06:C0:00/36	LuxconSy	Luxcon System Limited
00:1B:C5:06:D0:00/36	TesElect	TES Electronic Solutions (I) Pvt. Ltd.
00:1B:C5:06:E0:00/36	TwoDimen	Two Dimensional Instruments, LLC
00:1B:C5:06:F0:00/36	LlcEmzio	LLC Emzior
00:1B:C5:07:00:00/36	SiemensI	Siemens Industries, Inc, Retail & Commercial Systems
00:1B:C5:07:10:00/36	CenterFo	Center for E-Commerce Infrastructure Development, The University of Hong Kong
00:1B:C5:07:20:00/36	OhioSemi	Ohio Semitronics, Inc.
00:1B:C5:07:30:00/36	Tado	tado GmbH
00:1B:C5:07:40:00/36	Dynasthe	Dynasthetics
00:1B:C5:07:50:00/36	Kitron	Kitron GmbH
00:1B:C5:07:60:00/36	PlairMed	PLAiR Media, Inc
00:1B:C5:07:70:00/36	Momentum	Momentum Data Systems
00:1B:C5:07:80:00/36	DonbassS	Donbass Soft Ltd and Co.KG
00:1B:C5:07:90:00/36	HpiHighP	HPI High Pressure Instrumentation GmbH
00:1B:C5:07:A0:00/36	Servicio	Servicios Electronicos Industriales Berbel s.l.
00:1B:C5:07:B0:00/36	QcoreMed	QCORE Medical
00:1B:C5:07:C0:00/36	Head
00:1B:C5:07:D0:00/36	Greatcom	Greatcom AG
00:1B:C5:07:E0:00/36	BioMolec	Bio Molecular System Pty Ltd
00:1B:C5:07:F0:00/36	Hitechla	Hitechlab Inc
00:1B:C5:08:00:00/36	Lumino	LUMINO GmbH
00:1B:C5:08:10:00/36	Wonatech	WonATech Co., Ltd.
00:1B:C5:08:20:00/36	TgsGeoph	TGS Geophysical Company (UK) Limited
00:1B:C5:08:30:00/36	Diwel
00:1B:C5:08:40:00/36	AppliedI	Applied Innovations Research LLC
00:1B:C5:08:50:00/36	OberonMi	Oberon microsystems, Inc.
00:1B:C5:08:60:00/36	CastGrou	CAST Group of Companies Inc.
00:1B:C5:08:70:00/36	OnnetTec	Onnet Technologies and Innovations LLC
00:1B:C5:08:80:00/36	UabKitro	UAB Kitron
00:1B:C5:08:90:00/36	Signatur	Signature Control Systems, Inc.
00:1B:C5:08:A0:00/36	Topicon
00:1B:C5:08:B0:00/36	Nistica
00:1B:C5:08:C0:00/36	Triax	Triax A/S
00:1B:C5:08:D0:00/36	EurekSrl	Eurek Srl
00:1B:C5:08:E0:00/36	Trendpoi	TrendPoint Systems
00:1B:C5:08:F0:00/36	Unilever	Unilever R&amp;D
00:1B:C5:09:00:00/36	SevenSol	Seven Solutions S.L
00:1B:C5:09:10:00/36	3GreenAp	3green ApS
00:1B:C5:09:20:00/36	ArnouseD	Arnouse Digital Devices, Corp.
00:1B:C5:09:30:00/36	AmbientD	Ambient Devices, Inc.
00:1B:C5:09:40:00/36	Reelyact	reelyActive
00:1B:C5:09:50:00/36	PrevacSp	PREVAC sp. z o.o.
00:1B:C5:09:60:00/36	Sanstrea	Sanstreak Corp.
00:1B:C5:09:70:00/36	Plexstar	Plexstar Inc.
00:1B:C5:09:80:00/36	Cubic	Cubic Systems, Inc.
00:1B:C5:09:90:00/36	UabKitro	UAB Kitron
00:1B:C5:09:A0:00/36	Shenzhen	Shenzhen Guang Lian Zhi Tong Limited
00:1B:C5:09:B0:00/36	Yik	YIK Corporation
00:1B:C5:09:C0:00/36	SICESSrl	S.I.C.E.S. srl
00:1B:C5:09:D0:00/36	Navitar	Navitar Inc
00:1B:C5:09:E0:00/36	K+KMesst	K+K Messtechnik GmbH
00:1B:C5:09:F0:00/36	EnteSpZO	ENTE Sp. z o.o.
00:1B:C5:0A:00:00/36	Homersof	HomerSoft sp. z o.o.
00:1B:C5:0A:10:00/36	Hangzhou	Hangzhou Zhiping Technology Co., Ltd.
00:1B:C5:0A:20:00/36	HettichB	Hettich Benelux
00:1B:C5:0A:30:00/36	PANetwor	P A Network Laboratory Co.,Ltd
00:1B:C5:0A:40:00/36	RadmorSA	Radmor S.A.
00:1B:C5:0A:50:00/36	TeslaCon	Tesla Controls
00:1B:C5:0A:60:00/36	BalterSe	Balter Security GmbH
00:1B:C5:0A:70:00/36	LGLElect	L.G.L. Electronics S.p.a.
00:1B:C5:0A:80:00/36	LinkPrec	Link Precision
00:1B:C5:0A:90:00/36	Elektrom	Elektrometal SA
00:1B:C5:0A:A0:00/36	Senceive	Senceive Ltd
00:1B:C5:0A:B0:00/36	EvondosO	Evondos Oy
00:1B:C5:0A:C0:00/36	AvnuAlli	AVnu Alliance
00:1B:C5:0A:D0:00/36	TierraJa	Tierra Japan Co.,Ltd
00:1B:C5:0A:E0:00/36	TechlanR	Techlan Reti s.r.l.
00:1B:C5:0A:F0:00/36	Enerwise	Enerwise Solutions Ltd.
00:1B:C5:0B:00:00/36	J-DCom	J-D.Com
00:1B:C5:0B:10:00/36	RoslenEc	Roslen Eco-Networking Products
00:1B:C5:0B:20:00/36	SkodaEle	SKODA ELECTRIC a.s.
00:1B:C5:0B:30:00/36	FsmSolut	FSM Solutions Limited
00:1B:C5:0B:40:00/36	CobanSrl	Coban Srl
00:1B:C5:0B:50:00/36	Exibea	Exibea AB
00:1B:C5:0B:60:00/36	Veilux	Veilux Inc.
00:1B:C5:0B:70:00/36	AutelisL	Autelis, LLC
00:1B:C5:0B:80:00/36	Private
00:1B:C5:0B:90:00/36	DenkiKog	Denki Kogyo Company, Limited
00:1B:C5:0B:A0:00/36	NtMicros	Nt Microsystems
00:1B:C5:0B:B0:00/36	Triax	Triax A/S
00:1B:C5:0B:C0:00/36	Kuwatec	kuwatec, Inc.
00:1B:C5:0B:D0:00/36	BridgeDi	Bridge Diagnostics, Inc.
00:1B:C5:0B:E0:00/36	YespayIn	YESpay International Ltd
00:1B:C5:0B:F0:00/36	TnCore	TN Core Co.,Ltd.
00:1B:C5:0C:00:00/36	DigitalL	Digital Loggers, Inc.
00:1B:C5:0C:10:00/36	EreeElec	EREE Electronique
00:1B:C5:0C:20:00/36	Techsolu	TechSolutions A/S
00:1B:C5:0C:30:00/36	Inomatic	inomatic GmbH
00:1B:C5:0C:40:00/36	Eldes
00:1B:C5:0C:50:00/36	GillInst	Gill Instruments Ltd
00:1B:C5:0C:60:00/36	Connode
00:1B:C5:0C:70:00/36	Wizzilab	Wizzilab Sas
00:1B:C5:0C:80:00/36	Dialine
00:1B:C5:0C:90:00/36	UabKitro	UAB Kitron
00:50:C2:00:00:00/36	TLS	T.L.S. Corp.
00:50:C2:00:10:00/36	JmbsDeve	JMBS Developpements
00:50:C2:00:20:00/36	Integrat	Integrated Automation Solutions
00:50:C2:00:30:00/36	Microsof	Microsoft
00:50:C2:00:40:00/36	SciTechn	SCI Technology Inc.
00:50:C2:00:50:00/36	GdCalifo	GD California, Inc.
00:50:C2:00:60:00/36	ProjectM	Project Management Enterprises, Inc.
00:50:C2:00:70:00/36	CliveGre	Clive Green & Co. Ltd.
00:50:C2:00:80:00/36	Portable	Portable Add-Ons
00:50:C2:00:90:00/36	Datakine	Datakinetics Ltd.
00:50:C2:00:A0:00/36	Tharsys
00:50:C2:00:B0:00/36	Io	IO Limited
00:50:C2:00:C0:00/36	Vbrick	Vbrick Systems Inc.
00:50:C2:00:D0:00/36	OpusTele	Opus Telecom Inc.
00:50:C2:00:E0:00/36	Tttech
00:50:C2:00:F0:00/36	Xln-T
00:50:C2:01:00:00/36	Moisture	Moisture Systems
00:50:C2:01:10:00/36	Bihl+Wie	Bihl + Wiedemann GmbH
00:50:C2:01:20:00/36	FlowareS	Floware System Solutions Ltd.
00:50:C2:01:30:00/36	SensysTe	Sensys Technologies Inc.
00:50:C2:01:40:00/36	Canal+	Canal +
00:50:C2:01:50:00/36	LeroyAut	Leroy Automation
00:50:C2:01:60:00/36	DspDesig	DSP Design Ltd.
00:50:C2:01:70:00/36	HunterTe	Hunter Technology Inc.
00:50:C2:01:80:00/36	Cad-Ul	CAD-UL GmbH
00:50:C2:01:90:00/36	EmtacTec	Emtac Technology Corp.
00:50:C2:01:A0:00/36	SkylakeT	Skylake Talix
00:50:C2:01:B0:00/36	CrossPro	Cross Products Ltd.
